iter	Logloss
150	0.2825991295
151	0.282573913
152	0.2825185655
153	0.282486934
154	0.2823956284
155	0.2823680321
156	0.2823231765
157	0.2823164825
158	0.2822849501
159	0.2822770133
160	0.2822171035
161	0.2822170895
162	0.2821936886
163	0.282159113
164	0.2821198046
165	0.282077116
166	0.2820428638
167	0.2820342042
168	0.2820026601
169	0.281976541
170	0.2819498616
171	0.2819356683
172	0.281915599
173	0.2818578511
174	0.2818431701
175	0.2818101584
176	0.2817774347
177	0.2817753096
178	0.2817626958
179	0.2817520264
180	0.2817344652
181	0.2817130411
182	0.2817068379
183	0.2816991735
184	0.2816842079
185	0.2816641503
186	0.2816466665
187	0.2816105654
188	0.2815857074
189	0.2815676914
190	0.2815390631
191	0.2815385253
192	0.2815115751
193	0.2815068515
194	0.2814816992
195	0.2814643241
196	0.2814563339
197	0.2814482588
198	0.28142307
199	0.2814066017
200	0.2813855403
201	0.2813693949
202	0.2813222565
203	0.2813158088
204	0.2812962682
205	0.2812839121
206	0.2812828431
207	0.2812668606
208	0.2812030675
209	0.2811514981
210	0.281126591
211	0.2810902831
212	0.2810840995
213	0.2810734653
214	0.2810688531
215	0.2810364928
216	0.2810129214
217	0.28100166
218	0.2809762453
219	0.2809582201
220	0.2809549588
221	0.28094106
222	0.2809109268
223	0.28088278
224	0.280870926
225	0.2808593629
226	0.2808593618
227	0.280845914
228	0.2808272145
229	0.2808225461
230	0.2807894491
231	0.2807819912
232	0.2807815559
233	0.2807612321
234	0.2807576152
235	0.2807458761
236	0.2807381749
237	0.2807357022
238	0.2807222552
239	0.2807183121
240	0.2807091916
241	0.280699462
242	0.2806712712
243	0.2806513869
244	0.2806120668
245	0.2806094024
246	0.2805941802
247	0.2805816701
248	0.280556551
249	0.2805166267
250	0.2805146839
251	0.280477693
252	0.280452112
253	0.2804200078
254	0.2804104475
255	0.2804071342
256	0.2803912879
257	0.2803793774
258	0.2803593769
259	0.2803085426
260	0.2802963757
261	0.2802950799
262	0.2802392861
263	0.2802361084
264	0.2802336512
265	0.2802263937
266	0.2802263916
267	0.2802089717
268	0.2801845779
269	0.2801654648
270	0.2801484454
271	0.2801438964
272	0.2801294907
273	0.2801198662
274	0.2801081922
275	0.2801046878
276	0.2801015624
277	0.2800855883
278	0.2800544749
279	0.2800259626
280	0.2800229442
281	0.2800199426
282	0.2800141688
283	0.2800124555
284	0.2799976558
285	0.2799869172
286	0.2799815789
287	0.2799804861
288	0.2799684532
289	0.2799588342
290	0.2799555549
291	0.2799526469
292	0.279947578
293	0.2799409409
294	0.2799310784
295	0.2799196137
296	0.2799017887
297	0.2798990419
298	0.2798847937
299	0.2798699598
300	0.2798618627
301	0.2798567714
302	0.2798427069
303	0.2798312684
304	0.2798265955
305	0.2797859062
306	0.2797802021
307	0.27977487
308	0.2797662026
309	0.2797636637
310	0.279753251
311	0.2797416709
312	0.2797289015
313	0.2797203523
314	0.2796990244
315	0.2796959785
316	0.2796855733
317	0.2796754926
318	0.2796718668
319	0.2796688551
320	0.2796643935
321	0.2796589091
322	0.2796388791
323	0.279638878
324	0.2796220384
325	0.279622034
326	0.2796119268
327	0.2795949289
328	0.2795594108
329	0.2795076767
330	0.2795074119
331	0.2795005673
332	0.2794953277
333	0.2794901761
334	0.2794730979
335	0.2794727663
336	0.279468869
337	0.2794548853
338	0.279454369
339	0.2794523325
340	0.2794476014
341	0.2794456216
342	0.2794366771
343	0.2794114073
344	0.2794084134
345	0.279406602
346	0.2793942482
347	0.2793925823
348	0.2793684438
349	0.2793442818
350	0.2793318201
351	0.2793071298
352	0.2792971945
353	0.2792920196
354	0.2792886271
355	0.2792879359
356	0.2792853211
357	0.2792840578
358	0.2792681651
359	0.2792605792
360	0.279250748
361	0.2792444319
362	0.2792308093
363	0.2792193766
364	0.2792122259
365	0.2792122258
366	0.2791930973
367	0.2791907805
368	0.2791721397
369	0.2791614874
370	0.2791444126
371	0.2791409738
372	0.2791192122
373	0.2791042382
374	0.2791042372
375	0.2790996133
376	0.2790995032
377	0.2790837875
378	0.279076561
379	0.2790390813
380	0.2790327237
381	0.2790302007
382	0.2790175188
383	0.2790147409
384	0.2789931242
385	0.2789871018
386	0.2788917221
387	0.2788912538
388	0.2788827745
389	0.278882772
390	0.278875979
391	0.2788683113
392	0.2788658599
393	0.2788583573
394	0.2788478082
395	0.2788389202
396	0.2788349295
397	0.2788263699
398	0.2788243539
399	0.2788142345
400	0.2788055517
401	0.2787826113
402	0.2787826099
403	0.2787816619
404	0.27877458
405	0.278761596
406	0.2787150595
407	0.2787025339
408	0.2787022021
409	0.2787017332
410	0.2786938986
411	0.2786751538
412	0.2786625693
413	0.2786539436
414	0.2786539426
415	0.278651781
416	0.2786499094
417	0.2786201543
418	0.2785834182
419	0.2785708268
420	0.2785664664
421	0.2785595897
422	0.2785587005
423	0.2785567041
424	0.2785542527
425	0.2785512887
426	0.2785459829
427	0.2785392822
428	0.2785205282
429	0.278506318
430	0.2784883316
431	0.2784829277
432	0.278479154
433	0.2784739262
434	0.2784737315
435	0.2784606596
436	0.2784597995
437	0.2784496353
438	0.2784445516
439	0.2784341193
440	0.2784265735
441	0.2784158216
442	0.2783984891
443	0.2783955863
444	0.2783804925
445	0.2783787012
446	0.2783690893
447	0.2783665758
448	0.2783641441
449	0.2783581546
450	0.2783535217
451	0.2783513227
452	0.2783493404
453	0.2783393312
454	0.2783327837
455	0.278331316
456	0.2783247474
457	0.2783235098
458	0.2783198195
459	0.2783148658
460	0.278300599
461	0.2782987512
462	0.2782922444
463	0.2782886708
464	0.2782877342
465	0.2782877341
466	0.2782853782
467	0.278271735
468	0.2782659538
469	0.278263652
470	0.278249115
471	0.2782464835
472	0.2782463139
473	0.2782457221
474	0.2782281688
475	0.2782182518
476	0.2782163929
477	0.2782147505
478	0.278203454
479	0.2782006912
480	0.2781986881
481	0.2781945687
482	0.278193335
483	0.2781805573
484	0.2781594078
485	0.278135365
486	0.2781349125
487	0.278124293
488	0.278121664
489	0.2781166935
490	0.2781038328
491	0.2780955918
492	0.2780770536
493	0.2780684595
494	0.2780659845
495	0.2780644514
496	0.2780624668
497	0.2780540716
498	0.2780480646
499	0.2780244887
500	0.2780244884
501	0.2780122514
502	0.2780086374
503	0.2780057856
504	0.2780050481
505	0.2779914922
506	0.2779893461
507	0.2779811977
508	0.2779712818
509	0.2779666562
510	0.2779577887
511	0.2779465312
512	0.2779335084
513	0.2779333823
514	0.2779221493
515	0.2779175125
516	0.2779129156
517	0.2778977165
518	0.277893958
519	0.2778937002
520	0.2778758322
521	0.2778689949
522	0.2778657009
523	0.2778619522
524	0.2778593653
525	0.2778506769
526	0.2778418536
527	0.2778408801
528	0.2778385143
529	0.2778288014
530	0.2778280313
531	0.2778255149
532	0.277820501
533	0.2778010946
534	0.2777965958
535	0.2777902819
536	0.2777892467
537	0.2777819505
538	0.2777801935
539	0.2777781048
540	0.2777685477
541	0.2777497185
542	0.277741972
543	0.2777343197
544	0.2777337643
545	0.2777303493
546	0.2777177181
547	0.277700943
548	0.2777009104
549	0.2776896866
550	0.2776769437
551	0.2776738305
552	0.2776708517
553	0.2776614023
554	0.2776575976
555	0.2776364769
556	0.2776314403
557	0.2776312192
558	0.2776305435
559	0.277627474
560	0.2776242849
561	0.2776197699
562	0.2776096506
563	0.2776004895
564	0.2775927014
565	0.2775889421
566	0.2775859875
567	0.2775787614
568	0.2775762798
569	0.27757574
570	0.2775629406
571	0.2775623031
572	0.2775572394
573	0.2775565701
574	0.2775533072
575	0.2775478647
576	0.2775403544
577	0.2775395557
578	0.2775395553
579	0.2775172956
580	0.2775143166
581	0.2775093109
582	0.2775066248
583	0.2774953587
584	0.2774896839
585	0.2774854585
586	0.2774793702
587	0.2774770598
588	0.2774684382
589	0.2774678998
590	0.2774600466
591	0.2774560049
592	0.2774524293
593	0.2774460617
594	0.2774424796
595	0.2774380271
596	0.2774320997
597	0.2774261234
598	0.27742539
599	0.2774238993
600	0.2774238989
601	0.2774155665
602	0.2774123083
603	0.2774007354
604	0.2773964205
605	0.2773960768
606	0.2773859354
607	0.277380017
608	0.2773762934
609	0.2773743961
610	0.2773673389
611	0.277362612
612	0.2773599873
613	0.2773532907
614	0.2773531238
615	0.2773491443
616	0.2773417389
617	0.2773241649
618	0.2773157337
619	0.277315381
620	0.2772962752
621	0.2772871784
622	0.2772862578
623	0.2772811324
624	0.2772787294
625	0.2772767748
626	0.277276027
627	0.2772608481
628	0.2772592678
629	0.2772556568
630	0.2772527268
631	0.2772495314
632	0.2772433168
633	0.2772367084
634	0.277235049
635	0.277233237
636	0.2772197933
637	0.2772196605
638	0.2772004201
639	0.2771963856
640	0.2771947962
641	0.2771634875
642	0.2771428997
643	0.2771419986
644	0.2771390629
645	0.2771333796
646	0.2771249181
647	0.2771246943
648	0.277119085
649	0.2771126995
650	0.2771086223
651	0.2771052883
652	0.277102039
653	0.2771020381
654	0.277100871
655	0.277084093
656	0.2770824633
657	0.2770824627
658	0.2770800595
659	0.277065446
660	0.2770616849
661	0.2770612119
662	0.2770566253
663	0.2770414258
664	0.2770367455
665	0.2770321751
666	0.2770304142
667	0.277021108
668	0.2770179086
669	0.2769452208
670	0.2769432829
671	0.2769403847
672	0.2769348035
673	0.2769320903
674	0.2769179619
675	0.2768987487
676	0.2768947174
677	0.2768915513
678	0.2768914581
679	0.2768906074
680	0.2768897019
681	0.2768787445
682	0.2768770233
683	0.2768769979
684	0.2768729443
685	0.276860121
686	0.2768596597
687	0.276851065
688	0.2768507647
689	0.2768406075
690	0.276831198
691	0.2768226115
692	0.276815246
693	0.2768115324
694	0.2768078239
695	0.2767957855
696	0.2767892692
697	0.2767731538
698	0.2767554319
699	0.2767417168
700	0.2767403977
701	0.2767332817
702	0.2767256409
703	0.2767236849
704	0.2767032208
705	0.2766947633
706	0.2766749455
707	0.2766659486
708	0.2766613939
709	0.2766580257
710	0.2766495948
711	0.2766418268
712	0.2766395673
713	0.2766320933
714	0.2766320924
715	0.276621616
716	0.2766114391
717	0.2765865074
718	0.2765771335
719	0.2765713935
720	0.2765694479
721	0.2765616029
722	0.2765601902
723	0.2765544601
724	0.2765491302
725	0.2765251521
726	0.2765240582
727	0.2765095943
728	0.2765047973
729	0.2764988223
730	0.2764912733
731	0.2764773829
732	0.2764758676
733	0.2764736755
734	0.276473667
735	0.2764663191
736	0.2764603137
737	0.2764581408
738	0.2764573966
739	0.2764566011
740	0.2764503399
741	0.276430202
742	0.27642931
743	0.2764250437
744	0.2764233316
745	0.2764186747
746	0.2764170776
747	0.2764146966
748	0.2764127569
749	0.2764121144
750	0.2764033697
751	0.2764028029
752	0.2764012679
753	0.2763892937
754	0.2763845097
755	0.2763835117
756	0.2763779297
757	0.2763779293
758	0.2763778622
759	0.2763749568
760	0.2763697323
761	0.2763607824
762	0.2763607131
763	0.2763577399
764	0.2763563918
765	0.2763562074
766	0.2763552848
767	0.2763314923
768	0.2763270408
769	0.2763265154
770	0.2763050222
771	0.2762945567
772	0.2762823695
773	0.2762772258
774	0.2762736273
775	0.2762681825
776	0.2762657963
777	0.2762643993
778	0.276264322
779	0.2762603093
780	0.2762598239
781	0.2762590942
782	0.2762516253
783	0.276249004
784	0.2762490038
785	0.2762490037
786	0.2762461389
787	0.2762287915
788	0.2762257916
789	0.2762214342
790	0.2762159564
791	0.2762129792
792	0.276208285
793	0.2762055705
794	0.2762045902
795	0.2762024471
796	0.2761955969
797	0.2761823713
798	0.2761822895
799	0.2761782744
800	0.2761770962
801	0.2761746497
802	0.2761711471
803	0.2761602661
804	0.2761496169
805	0.2761483234
806	0.2761426202
807	0.2761366549
808	0.2761311454
809	0.2761284968
810	0.2761250665
811	0.2761222665
812	0.2761206131
813	0.2761147322
814	0.2761139649
815	0.2761110184
816	0.2761041509
817	0.2761014881
818	0.2761004369
819	0.2760981021
820	0.2760978717
821	0.2760972045
822	0.2760964117
823	0.2760936943
824	0.2760913972
825	0.2760875503
826	0.2760760555
827	0.2760730614
828	0.2760600848
829	0.2760600814
830	0.276056067
831	0.2760492945
832	0.2760491959
833	0.2760458612
834	0.2760399293
835	0.2760355526
836	0.276030794
837	0.2760307936
838	0.2760283455
839	0.276025294
840	0.2760071033
841	0.2759969459
842	0.275996307
843	0.2759898752
844	0.2759880046
845	0.2759856447
846	0.2759833721
847	0.2759742063
848	0.2759728132
849	0.2759701399
850	0.275969653
851	0.2759649517
852	0.2759614545
853	0.2759568659
854	0.275954899
855	0.2759442337
856	0.2759415206
857	0.275931517
858	0.2759312774
859	0.275924013
860	0.2759090823
861	0.2759089056
862	0.2759089051
863	0.2759067905
864	0.275903889
865	0.2758911409
866	0.27588986
867	0.2758406814
868	0.2758404433
869	0.2758404332
870	0.2758403766
871	0.2758346218
872	0.2758314129
873	0.2758218451
874	0.2758152664
875	0.2758090708
876	0.2758027078
877	0.2757991067
878	0.2757972394
879	0.2757926383
880	0.2757920675
881	0.2757871819
882	0.2757859095
883	0.2757836693
884	0.2757728152
885	0.27577005
886	0.2757651107
887	0.2757620699
888	0.2757565853
889	0.2757482397
890	0.2757481757
891	0.2757439809
892	0.2757411645
893	0.2757371137
894	0.2757354963
895	0.2757351522
896	0.2757248309
897	0.2757224717
898	0.2757178336
899	0.2757158974
900	0.2757135755
901	0.2757111681
902	0.2757026153
903	0.2756994627
904	0.2756962241
905	0.2756819128
906	0.2756783222
907	0.2756748627
908	0.2756710629
909	0.2756625689
910	0.2756625685
911	0.275662442
912	0.2756519606
913	0.2756413503
914	0.2756335076
915	0.2756334911
916	0.2756228489
917	0.2756223658
918	0.2756139689
919	0.275611631
920	0.2756090749
921	0.2756067817
922	0.2756036101
923	0.2756015703
924	0.2755970602
925	0.2755927127
926	0.275592603
927	0.2755913803
928	0.2755902566
929	0.2755820804
930	0.2755542834
931	0.2755424299
932	0.2755403839
933	0.2755327463
934	0.2755197649
935	0.2755195575
936	0.2755177716
937	0.2755167571
938	0.2755162589
939	0.2755141273
940	0.2755116665
941	0.2755106063
942	0.2755085923
943	0.2755071415
944	0.2755021381
945	0.275497145
946	0.2754939868
947	0.2754920477
948	0.275488505
949	0.2754864877
950	0.2754781115
951	0.2754684956
952	0.2754658231
953	0.2754622205
954	0.2754590221
955	0.2754542855
956	0.2754359303
957	0.275425692
958	0.2754217136
959	0.275418927
960	0.2754164986
961	0.2754079551
962	0.2754078933
963	0.2754028669
964	0.275402344
965	0.2753920646
966	0.2753884212
967	0.2753884072
968	0.2753848381
969	0.275381368
970	0.275379023
971	0.2753784162
972	0.2753756512
973	0.2753736549
974	0.2753735448
975	0.2753681577
976	0.2753653214
977	0.2753604996
978	0.2753544419
979	0.2753528842
980	0.2753528841
981	0.2753516847
982	0.2753489519
983	0.2753484901
984	0.2753466562
985	0.2753427219
986	0.2753413787
987	0.2753318967
988	0.2753267079
989	0.2753234417
990	0.2753228927
991	0.2753147758
992	0.2753133585
993	0.2753094481
994	0.2753080404
995	0.2753069169
996	0.2753036264
997	0.2752853834
998	0.2752839661
999	0.2752783572
